0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
I especially love the the guacamole that they make at Chipotle,It's almost as good as guacamole in Mexico,it never fails to taste amazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is great,hands down my favorite place to go for a burrito bowl,quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I told him over and over that it was okay and he didn't need to worry but he continued to push and then got me a free burrito card (not complaining) however the young,thanks for the free burrito though,The first of my last two experiences I had a bowl,the black bean was running low but they just decided to scrape up all the goop of the beans and put it in my bowl anyway,I was having another bowl ,They're always out of black beans,they had zero black beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We ordered steak burritos ,We ate our burritos in the dining room which was filthy,what I do know is we spent over 40 bucks on mediocre burritos,but the steak was full of tendons and the meat itself was tough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My husband had steak and I had chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food was so tasteless,Last of all  e-coli diarrhea was they way I felt after paying good money for poor service and tasteless food,I was so happy when I found that this chipotle was opening in my neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I haven't found any Mexican food in the south that satisfies,I ordered a steak burrito with white, rice ,I'd rather go to Mo's where I can get chips for free and a choice of different salsas,and had them add some guacamole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/C broken but the food is ok,one of the ppl working there told me the air was broken for almost 2 weeks I will not go back into the A/c is fix this is not a 3rd world country  if so can I get third world price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
your burrito is always gargantuan by the time they have to wrap it up,a local chipotle that's walking distance,This chipotle functions pretty st,The menu is pretty standard and like all other chipotles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My latest Pro tip for Chipotle is asking for my taco shells on the side,I love the crunchy taco shells ,So I asked them to put the shelves on the side and basically I get a bowl and tacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The usual chipotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 That sour cream and cheese topped on my salad,This is my go to fix when I'm craving a to-go salad, I should really check how many calories are in the salad sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I order a bowl with double, steak (which costs extra,) there isn't double steak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steak burrito bowl is great and unlike a few other locations I don't find the food oversalted,I've never run into a problem with me wanting the steak that is being cut up instead of the older steak in the pans (so much better),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I love purchasing Chipotle cards for people to turn them onto the food fresh,food served here,this time for food,The only reason not 5 stars was because I did not purchase food,which I am quite sure I will give them that 5 stars rating once I have tried the food,They have the most amazingly fresh housemade guacamole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Today's visit chips are stale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I don't think the food is 5 stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 They put barely any rice in my bowl,it's rice,I would give this location a 5 but they really skimp you on the bowls, And it's not just the meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not the best chipotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not only am I always satisfied with my food,but they happily fixed me my tacos and even gave me a free burrito coupon for next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff is wonderful and food is always delish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I shouldnt have eaten the burrito,Worst chipotle ever,bad balance of ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and the food they use is quality,and most important - fresh food,The crew was very eager to serve me and the manager came and asked how my food was,And the burritos,The tacos,I'm a huge fan of the chicken or carnitas tacos with no rice or beans,Update - writing this review made me hungry for tacos so I went over there for lunch,mild salsa,sour cream and cheese,lettuce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A steak Burrito bowl, If I am going to spend on the extras and spend $14 on a Burrito bowl,extra steak , The last time have of my steak was chunks of fat,and the steak was overdone ,and by far the quality of this location is the worse,I would expect a little better quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 It would take 45 minutes to get a burrito, I ordered and received a burrito that was smaller than my hand, If I'm going to risk my health to eat a burrito,I want the burrito to be the size Chipotle burritos are supposed to be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and Gary was very nice as well he remembered what I usually ordered and when I told him I  wanted to try something new he  let me sample the other meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I've been there a few times and each time the meat has tasted old (chicken ,30 for 10 chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Their food is always fresh, and delicious no matter which one I go to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My food was tossed around,like I was there begging for food,Last night I went to this chipotle  because I didn't want to drive the extra,10minutes to the Decatur one (I wish I would have) I was getting off my 12 hour shift from the hospital and was looking forward to buying chipotlet,Trust me there are many other chipotles ,Everyone except the girl who served the rice,",beans","she asked ""what's going in this"" instead of asking ""what would you like"" then she would slam a huge amount of let's say for example mild salsa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Want some actual food , Fast food ,but are in a hurry come get a rice bowl w beef ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope the food is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The OG chipo - really doesn't need many words - gotta love a good burrito bowl time to time - just don't forget my dressing with my salad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
because your food is so good,The food's so delicious,The burritos,Your tacos so soft,chipotle,The bowls are also quite the treat,and your chicken so good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
